timestamp_ms,ir_value
1761905609664.5042,ets Jul 29 2019 12:21:46
rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
configsip: 0, SPIWP:0xee
mode:DIO, clock div:1
load:0x3fff0030,len:4980
load:0x40078000,len:16612
load:0x40080400,len:3480
1761905609688.3882,entry 0x400805b4
1761905609872.325,26742
1761905609912.523,26789
1761905609952.394,26789
1761905609992.5671,26800
1761905610032.541,26805
1761905610072.231,26811
1761905610112.344,26788
1761905610152.363,26783
1761905610192.238,26783
1761905610232.48,26792
1761905610272.239,26790
1761905610312.3428,26776
1761905610352.343,26769
1761905610392.336,26770
1761905610432.228,26770
1761905610472.488,26777
1761905610512.359,26780
1761905610552.357,26788
1761905610592.4512,26786
1761905610632.504,26786
1761905610672.4492,26787
1761905610710.5562,26782
1761905610750.48,26782
1761905610790.3782,26765
1761905610830.438,26768
1761905610870.2769,26785
1761905610910.192,26788
1761905610950.382,26778
1761905610990.5889,26775
1761905611030.4001,26763
1761905611070.2,26756
1761905611110.2742,26735
1761905611150.6199,26721
1761905611190.267,26726
1761905611230.326,26724
1761905611270.344,26715
1761905611310.315,26720
1761905611350.217,26727
1761905611390.117,26722
1761905611430.239,26723
1761905611470.371,26723
1761905611510.3691,26718
1761905611550.2341,26710
1761905611590.344,26719
1761905611630.114,26723
1761905611670.368,26733
1761905611710.4658,26734
1761905611750.437,26736
1761905611790.236,26722
1761905611830.136,26715
1761905611870.262,26727
1761905611910.294,26733
1761905611950.1318,26724
1761905611990.3792,26732
1761905612030.08,26731
1761905612070.1448,26731
1761905612110.166,26740
1761905612150.134,26736
1761905612190.213,26741
1761905612230.3281,26746
1761905612270.36,26746
1761905612310.259,26765
1761905612350.3262,26769
1761905612390.392,26765
1761905612430.367,26769
1761905612470.423,26758
1761905612514.355,26764
1761905612550.322,26783
1761905612590.503,26792
1761905612630.574,26807
1761905612670.213,26811
1761905612710.285,26818
1761905612750.267,26815
1761905612790.229,26822
1761905612830.31,26829
1761905612870.4,26826
1761905612910.64,26835
1761905612950.178,26834
1761905612990.0588,26839
1761905613030.298,26837
1761905613070.401,26843
1761905613110.251,26841
1761905613150.306,26846
1761905613190.408,26830
1761905613230.271,26825
1761905613270.183,26830
1761905613318.0562,26829
1761905613350.5361,26830
1761905613390.26,26832
1761905613430.438,26835
1761905613470.1282,26839
1761905613510.209,26830
1761905613550.537,26836
1761905613590.293,26839
1761905613630.5288,26835
1761905613670.394,26830
1761905613710.4321,26829
1761905613750.4102,26818
1761905613790.23,26816
1761905613830.266,26814
1761905613870.472,26819
1761905613910.157,26816
1761905613950.184,26811
1761905613990.515,26800
1761905614030.476,26789
1761905614070.399,26791
1761905614110.465,26790
1761905614150.5288,26785
1761905614190.175,26798
1761905614235.836,26799
1761905614270.4238,26795
1761905614310.24,26793
1761905614350.156,26788
1761905614400.405,26798
1761905614430.47,26807
1761905614470.326,26807
1761905614510.509,26805
1761905614550.3381,26800
1761905614590.1511,26797
1761905614630.118,26799
1761905614670.1719,26799
1761905614710.256,26802
1761905614750.245,26792
1761905614790.377,26791
1761905614830.185,26774
1761905614870.206,26777
1761905614910.099,26773
1761905614950.331,26780
1761905614990.085,26786
1761905615030.094,26787
1761905615070.194,26792
1761905615110.279,26787
1761905615150.249,26795
1761905615190.1519,26802
1761905615230.304,26796
1761905615270.204,26801
1761905615310.301,26794
1761905615350.1958,26797
1761905615398.179,26794
1761905615430.288,26789
1761905615470.3792,26797
1761905615518.5598,26794
1761905615550.116,26795
1761905615590.3599,26793
1761905615630.166,26781
1761905615670.464,26773
1761905615710.0588,26778
1761905615754.218,26782
1761905615790.2651,26791
1761905615830.09,26785
1761905615870.2568,26794
1761905615910.185,26794
1761905615950.46,26798
1761905615990.5332,26800
1761905616030.429,26805
1761905616070.035,26806
1761905616110.494,26814
1761905616150.2039,26804
1761905616190.032,26804
1761905616230.176,26808
1761905616270.182,26808
1761905616310.208,26804
1761905616350.2551,26814
1761905616390.196,26814
1761905616430.143,26814
1761905616470.133,26805
1761905616510.2551,26789
1761905616550.092,26797
1761905616590.2559,26798
1761905616630.22,26803
1761905616670.1409,26803
1761905616710.095,26807
1761905616750.224,26799
1761905616790.212,26800
1761905616830.6401,26795
1761905616870.208,26793
1761905616910.192,26791
1761905616950.1792,26795
1761905616990.154,26795
1761905617030.329,26799
1761905617070.424,26801
1761905617110.1938,26792
1761905617150.175,26802
1761905617195.369,26798
1761905617230.5369,26804
1761905617270.388,26794
1761905617310.14,26783
1761905617350.159,26787
1761905617390.134,26796
1761905617430.2349,26790
1761905617470.212,26800
1761905617510.165,26793
1761905617550.3271,26788
1761905617590.3079,26792
1761905617632.649,26796
1761905617670.4668,26805
1761905617710.2039,26805
1761905617750.239,26809
1761905617790.09,26819
1761905617830.1401,26823
1761905617870.125,26826
1761905617921.296,26831
1761905617950.082,26830
1761905617990.0972,26828
1761905618030.401,26806
1761905618070.23,26800
1761905618110.2358,26800
1761905618150.114,26810
1761905618190.2102,26810
1761905618230.0771,26807
1761905618270.149,26814
1761905618310.08,26818
1761905618350.107,26818
1761905618390.2231,26831
1761905618430.1318,26835
1761905618468.122,26835
1761905618508.143,26835
1761905618548.051,26829
1761905618588.051,26838
1761905618628.297,26842
1761905618668.166,26830
1761905618708.155,26839
1761905618748.118,26839
1761905618788.11,26829
1761905618828.205,26798
1761905618868.122,26802
1761905618908.1472,26807
1761905618948.104,26808
1761905618988.01,26815
1761905619028.162,26831
1761905619068.1008,26830
1761905619108.211,26838
1761905619148.298,26839
1761905619188.387,26841
1761905619228.365,26853
1761905619268.446,26852
1761905619308.517,26859
1761905619352.935,26866
1761905619388.04,26868
1761905619428.052,26869
1761905619468.2031,26873
1761905619517.782,26869
1761905619548.1812,26874
1761905619588.085,26861
1761905619628.075,26841
1761905619668.066,26844
1761905619708.048,26844
1761905619748.061,26852
1761905619788.206,26853
1761905619828.065,26873
1761905619868.1208,26881
1761905619907.9648,26883
1761905619948.107,26876
1761905619988.207,26886
1761905620028.265,26882
1761905620068.145,26876
1761905620108.031,26874
1761905620148.142,26872
1761905620188.242,26875
1761905620228.134,26875
