timestamp_ms,ir_value,ir_filtered
6906.0,25964.0,-0.09029216009300492
6916.0,25970.0,-0.055663486143193816
6926.0,25992.0,-0.02172749761900676
6936.0,26027.0,0.01258654828529451
6946.0,26048.0,0.04832819882346043
6956.0,26103.0,0.0864816445907796
6966.0,26151.0,0.1279333925646115
6975.0,26194.0,0.17345103924435828
6985.0,26236.0,0.22367013850609874
6996.0,26288.0,0.27908510458667
7006.0,26326.0,0.34004034233539626
7016.0,26371.0,0.40671851831547096
7026.0,26396.0,0.47912385419456294
7036.0,26440.0,0.5570599034997825
7045.0,26481.0,0.640103212856651
7055.0,26501.0,0.7275757840923294
7066.0,26547.0,0.8185202127266781
7076.0,26579.0,0.9116822500037158
7086.0,26626.0,1.00550608091368
7096.0,26668.0,1.0981471860328258
7105.0,26710.0,1.1875064150989505
7115.0,26759.0,1.271287412784144
7126.0,26811.0,1.3470779515508886
7136.0,26864.0,1.41245378976122
7146.0,26910.0,1.4651012854408798
7155.0,26979.0,1.502952515953521
7165.0,27037.0,1.5243242486315511
7176.0,27083.0,1.5280495740458024
7186.0,27115.0,1.5135889396356914
7196.0,27122.0,1.4811071331609311
7205.0,27128.0,1.4315050858379648
7216.0,27088.0,1.3663995205051387
7226.0,27053.0,1.2880486650091474
7236.0,26980.0,1.199228170674361
7245.0,26920.0,1.103067569105978
7255.0,26879.0,1.0028629360285997
7266.0,26849.0,0.9018842506861929
7276.0,26838.0,0.8031950288816745
7286.0,26824.0,0.709497727038996
7295.0,26808.0,0.623013297373907
7306.0,26809.0,0.5453990686548207
7316.0,26831.0,0.47770621288187787
7326.0,26827.0,0.42037541597827244
7335.0,26835.0,0.37326657186270706
7346.0,26833.0,0.3357165552754149
7356.0,26851.0,0.30661910750931415
7366.0,26859.0,0.28452146396354955
7375.0,26881.0,0.26773235513913524
7386.0,26895.0,0.25443547666650274
7396.0,26924.0,0.24280199427634797
7406.0,26916.0,0.2310954288994603
7415.0,26926.0,0.21776277214521772
7425.0,26928.0,0.20150733255747869
7436.0,26937.0,0.18134100206039122
7446.0,26938.0,0.15661512346597517
7455.0,26939.0,0.12702972208080968
7465.0,26936.0,0.09262129843665903
7476.0,26908.0,0.053730222219196204
7486.0,26883.0,0.010950315261321807
