timestamp_ms,ir_value,ir_filtered
6901.0,26580.0,0.059336393291327214
6911.0,26579.0,0.04421008937979321
6920.0,26585.0,0.02959168228842648
6930.0,26580.0,0.01631738624702045
6940.0,26573.0,0.005305056949613512
6950.0,26572.0,-0.002490609092294938
6960.0,26563.0,-0.006176213689684895
6970.0,26569.0,-0.00502407675894875
6980.0,26574.0,0.0014644794251896778
6990.0,26565.0,0.013555385104516704
7001.0,26570.0,0.03127737391595218
7011.0,26573.0,0.05438392761938639
7021.0,26581.0,0.0823432029404879
7030.0,26594.0,0.1144004740084731
7040.0,26604.0,0.1497096375828122
7050.0,26599.0,0.18748650670861697
7060.0,26603.0,0.22708975484032498
7070.0,26608.0,0.2680064224910063
7080.0,26614.0,0.30982281558029984
7090.0,26619.0,0.3522308209503523
7100.0,26628.0,0.39505499135767247
7110.0,26621.0,0.43827214817615595
7121.0,26622.0,0.481975454826044
7131.0,26628.0,0.5262714454791986
7141.0,26635.0,0.5711875102745779
7150.0,26634.0,0.6166388450913444
7160.0,26639.0,0.6624079682535893
7170.0,26636.0,0.7080940133403424
7180.0,26638.0,0.7530353181176186
7190.0,26639.0,0.7962214191272511
7200.0,26649.0,0.836229867234671
7210.0,26650.0,0.8712262134199782
7220.0,26655.0,0.8990167685577342
7231.0,26654.0,0.9171122038687496
7241.0,26651.0,0.9227775373240352
7251.0,26651.0,0.9130663708862666
7261.0,26650.0,0.8848637219754152
7270.0,26654.0,0.8349803720294021
7280.0,26658.0,0.7603306259809045
7290.0,26658.0,0.6581976115177856
7300.0,26658.0,0.5265548553560407
7310.0,26669.0,0.3644255947032462
7320.0,26666.0,0.1723046853913293
7330.0,26656.0,-0.04738879041677513
7341.0,26631.0,-0.2899591370361879
7351.0,26599.0,-0.5482991408369134
7361.0,26528.0,-0.8130523240147423
7371.0,26461.0,-1.0731726994029744
7381.0,26382.0,-1.3169051914414291
7390.0,26340.0,-1.5330109967425734
7400.0,26315.0,-1.7119197764573038
7410.0,26303.0,-1.8465201585029394
7420.0,26298.0,-1.932497558853251
7430.0,26313.0,-1.9683417900825535
7440.0,26338.0,-1.9551878043386288
7450.0,26362.0,-1.8965239181612756
7461.0,26391.0,-1.7977386569441716
7471.0,26419.0,-1.6655630751165795
7481.0,26450.0,-1.5074999866479972
7491.0,26469.0,-1.331294793267454
7501.0,26499.0,-1.1444898814862285
7510.0,26520.0,-0.954067976937657
7520.0,26534.0,-0.7661706743744587
7530.0,26540.0,-0.5859336734683219
7540.0,26551.0,-0.4174787199067669
7550.0,26569.0,-0.2639986305967844
7560.0,26580.0,-0.1278236474715758
7571.0,26589.0,-0.01044194233033191
7581.0,26601.0,0.0874788801099382
7591.0,26600.0,0.16604557884744356
7601.0,26604.0,0.22605739082341675
7611.0,26611.0,0.2688892713914852
7621.0,26607.0,0.29637976308073355
7631.0,26611.0,0.31073323848967077
7640.0,26609.0,0.31441789282693144
7650.0,26601.0,0.3100569298190485
7660.0,26605.0,0.3003043059029613
7670.0,26598.0,0.2877189986126257
7681.0,26595.0,0.2746587748329962
7691.0,26605.0,0.2631943838430512
7701.0,26602.0,0.2550773151859584
7711.0,26600.0,0.2517581473056444
7721.0,26599.0,0.25438142773464595
7731.0,26599.0,0.26373799533158787
7741.0,26604.0,0.2802210918382295
7751.0,26609.0,0.3038207581109146
7760.0,26621.0,0.3341711326386412
7770.0,26624.0,0.37064634150608566
7780.0,26636.0,0.41247472452202677
7790.0,26637.0,0.45883981982924615
7801.0,26641.0,0.5089457641811453
7811.0,26652.0,0.5620414842585716
7821.0,26654.0,0.6174358710641058
7831.0,26657.0,0.6745137977476973
7841.0,26661.0,0.7327176582255285
7851.0,26664.0,0.7914937492197919
7861.0,26666.0,0.8502290996195939
7870.0,26667.0,0.9081793370261343
7880.0,26673.0,0.9643886229727155
7890.0,26666.0,1.017611724027762
7900.0,26670.0,1.0662262800074296
7911.0,26680.0,1.1081511242444975
7921.0,26682.0,1.1408393349676176
7931.0,26691.0,1.161361489468479
7941.0,26693.0,1.1665352855409632
7951.0,26688.0,1.1530670680961805
7961.0,26684.0,1.11766688519504
7971.0,26685.0,1.0571350174137193
7981.0,26691.0,0.9684961900973762
7990.0,26701.0,0.8492629705346799
8000.0,26702.0,0.6978376569824414
8010.0,26705.0,0.5139859689513683
8020.0,26691.0,0.29929155363794574
8031.0,26681.0,0.057518481169278594
8041.0,26655.0,-0.20516054951226553
8051.0,26595.0,-0.4801392659853834
8061.0,26519.0,-0.756726113644817
8071.0,26434.0,-1.023000612420837
8081.0,26388.0,-1.2670486725430354
8091.0,26356.0,-1.478198391820092
8101.0,26334.0,-1.6479242367777625
8110.0,26338.0,-1.770349414069458
8120.0,26346.0,-1.8424002493286136
8130.0,26351.0,-1.8636790982668243
8141.0,26365.0,-1.8361915314950044
8151.0,26395.0,-1.764020465075657
8161.0,26418.0,-1.652914439273019
8171.0,26453.0,-1.5097785034410822
8181.0,26478.0,-1.342130892972475
8191.0,26506.0,-1.1575896052613135
8201.0,26520.0,-0.9634476391785585
8211.0,26543.0,-0.7663813366748037
8221.0,26552.0,-0.5722864698243469
8231.0,26572.0,-0.3862075352592431
8240.0,26590.0,-0.212313535687686
8251.0,26595.0,-0.05388271006116316
8261.0,26610.0,0.08668307846647083
8271.0,26627.0,0.20781048798082735
8281.0,26626.0,0.3087217826539616
8291.0,26639.0,0.3894007632959085
8301.0,26646.0,0.45053098328866414
8311.0,26648.0,0.493443277734813
8321.0,26644.0,0.5200597181168306
8331.0,26647.0,0.532785800729557
