timestamp_ms,ir_value,ir_filtered
9383.0,28752.0,0.08720508531715612
9394.0,28746.0,0.08632773629791568
9403.0,28745.0,0.0848113875877952
9413.0,28758.0,0.08262383482519427
9424.0,28755.0,0.07973750989713688
9433.0,28756.0,0.07613007542295076
9443.0,28761.0,0.07178500353351126
9454.0,28754.0,0.06669212819131949
9463.0,28765.0,0.06084816132611783
9473.0,28762.0,0.05425716325605094
9484.0,28772.0,0.046930956796034234
9493.0,28766.0,0.0388894726708184
9504.0,28765.0,0.030161012990876708
9514.0,28773.0,0.020782420765065524
9523.0,28770.0,0.010799145193624935
9534.0,28768.0,0.0002651927519402745
9544.0,28778.0,-0.010757046284010311
9553.0,28784.0,-0.022197106129804856
9564.0,28779.0,-0.033976899759138944
9574.0,28779.0,-0.04601133146702929
9583.0,28780.0,-0.05820907823059143
9594.0,28775.0,-0.07047354612029182
9604.0,28765.0,-0.08270400431040902
9613.0,28744.0,-0.09479689532873269
9624.0,28692.0,-0.1066473125045547
9633.0,28628.0,-0.1181506209993453
9644.0,28593.0,-0.1292041771749473
9654.0,28550.0,-0.13970907977754973
9663.0,28522.0,-0.14957187673454242
9674.0,28506.0,-0.15870615573039776
9684.0,28489.0,-0.1670339584538481
9693.0,28493.0,-0.17448697222914109
9704.0,28480.0,-0.1810074669498024
9714.0,28494.0,-0.1865489582346497
9723.0,28495.0,-0.1910765885014346
9734.0,28514.0,-0.19456722698918344
9744.0,28553.0,-0.1970092994449919
9753.0,28560.0,-0.19840236964886204
9764.0,28580.0,-0.19875650640468845
9774.0,28611.0,-0.19809147587446368
9783.0,28627.0,-0.19643579955549992
9794.0,28642.0,-0.1938257180656825
9804.0,28657.0,-0.19030410092285688
9814.0,28679.0,-0.18591933958032467
9824.0,28686.0,-0.18072425676263007
9834.0,28693.0,-0.17477506213996483
9844.0,28717.0,-0.1681303809293313
9854.0,28702.0,-0.16085037733029328
9863.0,28701.0,-0.15299598953614418
9874.0,28706.0,-0.1446282856456853
9884.0,28704.0,-0.13580794085446496
9893.0,28701.0,-0.12659483092413065
9904.0,28697.0,-0.11704773545009695
9914.0,28684.0,-0.10722414222546739
9923.0,28680.0,-0.09718013950572262
9934.0,28666.0,-0.08697037801238368
9944.0,28670.0,-0.07664808090182675
9953.0,28669.0,-0.0662650791209
9964.0,28665.0,-0.05587185206103668
9974.0,28684.0,-0.045517557782912166
9984.0,28685.0,-0.03525004184921156
9994.0,28698.0,-0.025115819145501768
10004.0,28713.0,-0.015160028383485635
10014.0,28724.0,-0.005426362963022515
10024.0,28733.0,0.004043015132247287
10034.0,28737.0,0.013207569985568695
10044.0,28744.0,0.02202848749588255
10054.0,28748.0,0.03046876778232623
10064.0,28756.0,0.03849331245087251
10074.0,28761.0,0.046069005968320205
10084.0,28752.0,0.0531647905329827
10094.0,28757.0,0.059751735107326766
10104.0,28771.0,0.06580310208542094
10114.0,28764.0,0.07129441610278295
